movie_id,title,overview
1,Inception,A thief who steals corporate secrets through dream-sharing technology.
2,Interstellar,Explorers travel through a wormhole in space to save humanity.
3,The Dark Knight,Batman faces the Joker in Gotham City.
4,Avatar,A marine on an alien planet becomes part of the native tribe.
5,Titanic,A romance blossoms on the ill-fated Titanic ship.
6,The Matrix,A hacker discovers the world is a simulated reality controlled by machines.
7,Gladiator,A Roman general seeks revenge after being betrayed.
8,The Lion King,A young lion prince flees his kingdom after the death of his father.
9,Avengers Endgame,The Avengers assemble to undo Thanos' destruction.
10,Jurassic Park,Scientists clone dinosaurs leading to catastrophic events.
